name,address,pincode,phone,latitude,longitude,type,city
Sahyadri Blood Bank,"Karve Road, Deccan Gymkhana, Pune",411004,+91-20-67213500,18.5089,73.832,Private,Pune
Ruby Hall Clinic Blood Bank,"40, Sassoon Road, Sangamvadi, Pune",411001,+91-20-66455100,18.5335,73.8771,Private,Pune
Jehangir Hospital Blood Bank,"32, Sassoon Road, Pune",411001,+91-20-66819966,18.5303,73.8767,Private,Pune
Sassoon General Hospital Blood Bank,"Railway Station Road, Pune",411001,+91-20-26102200,18.5219,73.8731,Government,Pune
KEM Hospital Blood Bank,"489, Rasta Peth, Pune",411011,+91-20-66037300,18.5179,73.8683,Private (Trust),Pune
Deenanath Mangeshkar Hospital Blood Bank,"Erandwane, Pune",411004,+91-20-40151000,18.502,73.8328,Private (Trust),Pune
Aditya Birla Memorial Hospital Blood Bank,"Thergaon, Chinchwad, Pune",411033,+91-9881123006,18.6081,73.8008,Private (Corporate),Pune
Noble Hospital Blood Bank,"Magarpatta City Road, Hadapsar, Pune",411013,+91-8007006611,18.5049,73.9271,Private,Pune
Command Hospital Blood Bank,"Southern Command, Wanowrie, Pune",411040,+91-20-66455100,18.4967,73.9017,Government (Defense),Pune
Inlaks & Budhrani Hospital Blood Bank,"7-9, Koregaon Park, Pune",411001,+91-20-66099999,18.5362,73.8938,Private,Pune
Janakalyan Blood Bank,"1003, Saras Baug Rd, Shukrawar Peth, Pune",411002,+91-20-244449527,18.515,73.856,NGO,Pune
Sancheti Hospital Blood Bank,"16, Shivaji Nagar, Pune",411005,+91-20-25539000,18.5284,73.8501,Hospital,Pune
Poona Hospital Blood Bank,"27, Sadashiv Peth, Pune",411030,+91-20-66096000,18.51064,73.84204,Hospital,Pune
Wadia Institute Blood Bank,"32, Sassoon Rd, Bund Garden, Pune",411001,+91-20-67636400,18.53072,73.87695,Institute,Pune
Jehangir Hospital Blood Bank,"32, Sassoon Rd, Pune",411001,+91-20-66819966,18.53028,73.87667,Hospital,Pune
Ruby Hall Clinic Blood Centre (Emergency),"40, Sassoon Rd, Pune",411001,+91-20-66455150,18.5335,73.87715,Hospital,Pune
Ruby Hall Clinic Blood Bank,"40, Sassoon Rd, Sangamvadi, Pune",411001,+91-20-66455100,18.5335,73.87715,Hospital,Pune
KEM Hospital Blood Bank,"489, Rasta Peth, Pune",411011,+91-20-66037324,18.5179,73.8683,Government,Pune
Global Hospital Blood Bank (Akurdi),"Akurdi, PCMC",411035,+91-20-27660000,18.646,73.7705,Private,PCMC
Akurdi Blood Storage Centre,"Akurdi, PCMC",411035,+91-20-27661001,18.647,73.771,Private,PCMC
Alandi Blood Bank,"Alandi, PCMC",412105,+91-20-27192002,18.673,73.898,Private,PCMC
Galaxy Care Hospital Blood Bank,"Aundh, Pune",411007,+91-20-66069999,18.56,73.8085,Hospital,Pune
Aundh Institute Blood Bank,"Aundh, Pune",411007,+91-20-25880000,18.559,73.807,Institute,Pune
Baner Blood Donation Centre,"Baner, Pune",411045,+91-20-27290000,18.559,73.786,Private,Pune
Baner Multispeciality Blood Bank,"Baner, Pune",411045,+91-20-27290001,18.5595,73.7865,Hospital,Pune
Bavdhan Institute Blood Bank,"Bavdhan, Pune",411021,+91-20-67900001,18.515,73.784,Institute,Pune
Bharati Hospital Blood Bank,"Bharati Vidyapeeth Campus, Dhankawadi, Pune",411043,+91-20-24372451,18.4602,73.8545,Hospital,Pune
Krantiveer Chapekar Bandhu Blood Bank (Bhosari),"Bhosari, PCMC",411039,+91-20-27120050,18.626,73.844,NGO,PCMC
PCMC General Hospital Blood Bank (Bhosari),"Bhosari, PCMC",411039,+91-20-27120000,18.626,73.844,Government,PCMC
