name,address,pincode,phone,latitude,longitude,type,city
Jehangir Hospital,"32, Sassoon Road, Sangamvadi, Pune",411001,+91-20-66819966,18.53028,73.87667,Private,Pune
Ruby Hall Clinic,"40, Sasoon Rd, Sangamvadi, Pune",411001,+91-20-66455100,18.5335374,73.8771538,Private,Pune
Deenanath Mangeshkar Hospital & Research Centre,"Near Mhatre Bridge, Erandwane, Pune",411004,+91-20-40151000,18.5020099,73.8328426,Private ,Pune
B. J. Government Medical College & Sassoon General Hospital,"Jai Prakash Narayan Road, Railway Station Road, Pune",411001,+91-20-26102200,18.521872,73.873118,Government,Pune
Noble Hospital & Research Centre (Hadapsar),"153, Magarpatta City Road, Hadapsar, Pune",411013,+91-20-66285000,18.5049366,73.9271433,Private,Pune
Aditya Birla Memorial Hospital (Pimpri-Chinchwad),"Aditya Birla Hospital Marg, Thergaon, Chinchwad, Pune",411033,+91-20-30717600,18.6081213,73.8008423,Private ,PCMC
Sahyadri Super Speciality Hospital (Deccan Gymkhana),"Plot No. 30-C, Erandwane, Karve Road, Deccan Gymkhana, Pune",411004,+91-20-67213500,18.5543086,73.8971383,Private ,Pune
N. M. Wadia Institute of Cardiology,"32, Sassoon Road, Bund Garden, Pune",411001,+91-20-67636400,18.530716,73.876952,Private ,Pune
Poona Hospital & Research Centre,"27, Sadashiv Peth, Pune",411030,+91-20-66096000,18.5106,73.842,Private,Pune
Mahavir Hospital,"Akurdi, PCMC",411035,+91-20-61656700,18.647,73.771,Private,PCMC
Kushal Hospital,"Akurdi, PCMC",411035,+91-20-61656711,18.648,73.7715,Private,PCMC
Global Hospital,"Akurdi, PCMC",411035,+91-20-67296695,18.646,73.7705,Private,PCMC
Aditya Birla Memorial Hospital Pune Unit,"Aundh, Pune",411007,+91-20-61656670,18.5605,73.808,Private,Pune
Shashwat Hospital,"Aundh, Pune",411007,+91-20-67296666,18.561,73.8077,Private,Pune
Galaxy Care Hospital,"Aundh, Pune",411007,+91-20-67296674,18.56,73.8085,Private,Pune
Manipal Hospital Baner,"Baner, Pune",411045,+91-20-61656667,18.5595,73.7865,Private,Pune
Jupiter Hospital Pune,"Baner, Pune",411045,+91-20-61656683,18.56,73.7855,Private,Pune
Apex Multispeciality Hospital,"Baner, Pune",411045,+91-20-67296682,18.559,73.786,Private,Pune
Chellaram Hospital,"Bavdhan, Pune",411021,+91-20-61656686,18.515,73.784,Private,Pune
Sanjeevani Hospital,"Bhosari, PCMC",411039,+91-20-61656697,18.625,73.8455,Private,PCMC
Gurukrupa Hospital,"Bhosari, PCMC",411039,+91-20-61656707,18.6265,73.846,Private,PCMC
Spandan Hospital,"Bhosari, PCMC",411039,+91-20-67296698,18.624,73.845,Private,PCMC
PCMC General Hospital Bhosari,"Bhosari, PCMC",411039,+91-20-67296699,18.626,73.844,Government,PCMC
K K Hospital,"Bibwewadi, Pune",411037,+91-20-61656671,18.4785,73.8735,Private,Pune
Sahyog Hospital,"Bibwewadi, Pune",411037,+91-20-67296683,18.478,73.873,Private,Pune
N M Wadia Institute of Cardiology,"Bund Garden Road, Pune",411001,+91-20-61656673,18.5307,73.8769,Private,Pune
Sai Hospital,"Camp, Pune",411001,+91-20-61656687,18.52,73.88,Private,Pune
Lifeline Hospital,"Chikhali, PCMC",411062,+91-20-61656701,18.691,73.831,Private,PCMC
Care Hospital PCMC,"Chikhali, PCMC",411062,+91-20-61656715,18.692,73.832,Private,PCMC
Unique Multispeciality Hospital,"Chikhali, PCMC",411062,+91-20-67296697,18.69,73.83,Private,PCMC
Om Hospital Chinchwad,"Chinchwad, PCMC",411033,+91-20-61656692,18.6245,73.804,Private,PCMC
Jijamata Hospital,"Chinchwad, PCMC",411033,+91-20-61656695,18.6265,73.8025,Government,PCMC
Tulsi Hospital,"Chinchwad, PCMC",411033,+91-20-61656706,18.6255,73.8055,Private,PCMC
Ashwini Hospital,"Chinchwad, PCMC",411033,+91-20-67296687,18.62,73.807,Private,PCMC
Talera Hospital,"Chinchwad, PCMC",411033,+91-20-67296688,18.626,73.803,Private,PCMC
Om Hospital Dapodi,"Dapodi, Pune",411012,+91-20-67296681,18.583,73.833,Private,Pune
Siddharth Hospital,"Dhankawadi, Pune",411043,+91-20-61656679,18.4605,73.855,Private,Pune
Bharati Hospital,"Dhankawadi, Pune",411043,+91-20-67296671,18.4602,73.8545,Private,Pune
Vighnaharta Hospital,"Dighi, PCMC",411015,+91-20-61656698,18.601,73.871,Private,PCMC
Om Sai Hospital,"Dighi, PCMC",411015,+91-20-61656710,18.602,73.872,Private,PCMC
Siddhi Hospital,"Dighi, PCMC",411015,+91-20-67296700,18.6,73.87,Private,PCMC
Patil Hospital,"Erandwane, Pune",411004,+91-20-61656680,18.503,73.8335,Private,Pune
Ace Hospital,"Erandwane, Pune",411004,+91-20-67296677,18.5028,73.834,Private,Pune
Inamdar Multispeciality Hospital,"Fatima Nagar, Wanowrie, Pune",411040,+91-20-66812200,18.4919,73.9012,Private,Pune
Naidu Hospital PMC,"Ganesh Peth, Pune",411002,+91-20-67296672,18.5195,73.857,Government,Pune
Morya Hospital,"Hadapsar, Pune",411028,+91-20-61656674,18.496,73.928,Private,Pune
Sanjeevan Hospital,"Karve Road, Pune",411004,+91-20-61656690,18.5075,73.8328,Private,Pune
Joshi Hospital,"Karve Road, Pune",411004,+91-20-67296670,18.508,73.8325,Private,Pune
Sai Sneh Hospital,"Kasarwadi, PCMC",411034,+91-20-67296690,18.595,73.821,Private,PCMC
Kempegowda Municipal Hospital,"Kasba Peth, Pune",411011,+91-20-67296680,18.5208,73.864,Government,Pune
Bhagwati Hospital,"Katraj, Pune",411046,+91-20-61656682,18.457,73.862,Private,Pune
Columbia Asia Hospital Kharadi,"Kharadi Bypass Road, Pune",411014,+91-20-61656666,18.5409,73.9357,Private,Pune
Sparsh Hospital,"Kharadi, Pune",411014,+91-20-61656685,18.5415,73.9365,Private,Pune
Mangal Hospital,"Kondhwa, Pune",411048,+91-20-61656688,18.47,73.9,Private,Pune
Shivam Hospital,"Kothrud, Pune",411038,+91-20-61656675,18.507,73.8125,Private,Pune
Matoshree Hospital,"Kothrud, Pune",411038,+91-20-67296678,18.5075,73.812,Private,Pune
Noble Hospital Hadapsar,"Magarpatta, Hadapsar, Pune",411013,+91-20-61656668,18.505,73.9272,Private,Pune
Pune Adventist Hospital,"Market Yard, Pune",411037,+91-20-67296679,18.4855,73.87,Private,Pune
Sahyadri Hospital Nagar Road,"Nagar Road, Pune",411014,+91-20-61656669,18.536,73.897,Private,Pune
Navale Hospital,"Narhe, Pune",411041,+91-20-61656678,18.455,73.814,Private,Pune
Bhakti Hospital,"Nigdi, PCMC",411044,+91-20-61656694,18.6515,73.7695,Private,PCMC
Shree Samarth Hospital,"Nigdi, PCMC",411044,+91-20-61656704,18.6525,73.769,Private,PCMC
Navjeevan Hospital,"Nigdi, PCMC",411044,+91-20-61656713,18.653,73.7698,Private,PCMC
Sterling Multispeciality Hospital,"Nigdi, PCMC",411044,+91-20-67296686,18.652,73.768,Private,PCMC
Lokmanya Hospital Nigdi,"Nigdi, Pimpri-Chinchwad",411044,+91-20-67296685,18.651,73.77,Private,PCMC
Unity Hospital,"Pimple Gurav, PCMC",411061,+91-20-61656708,18.5935,73.823,Private,PCMC
Prakash Hospital,"Pimple Gurav, Pune",411061,+91-20-61656677,18.5925,73.822,Private,Pune
City Care Hospital,"Pimple Saudagar, PCMC",411027,+91-20-61656696,18.593,73.7885,Private,PCMC
Ojas Multispeciality Hospital,"Pimple Saudagar, PCMC",411027,+91-20-67296693,18.592,73.789,Private,PCMC
Rudra Hospital,"Pimpri, PCMC",411018,+91-20-61656703,18.63,73.7985,Private,PCMC
Sahyadri Hospital PCMC,"Pimpri, PCMC",411018,+91-20-61656709,18.631,73.7995,Private,PCMC
